Name,ID,Type
PID_PAD,0x0000,pid
PID_SENTINEL,0x0001,pid
PID_USER_DATA,0x002c,pid
PID_TOPIC_NAME,0x0005,pid
PID_TYPE_NAME,0x0007,pid
PID_GROUP_DATA,0x002d,pid
PID_TOPIC_DATA,0x002e,pid
PID_DURABILITY,0x001d,pid
PID_DURABILITY_SERVICE,0x001e,pid
PID_DEADLINE,0x0023,pid
PID_LATENCY_BUDGET,0x0027,pid
PID_LIVELINESS,0x001b,pid
PID_RELIABILITY,0x001a,pid
PID_LIFESPAN,0x002b,pid
PID_DESTINATION_ORDER,0x0025,pid
PID_HISTORY,0x0040,pid
PID_RESOURCE_LIMITS,0x0041,pid
PID_OWNERSHIP,0x001f,pid
PID_OWNERSHIP_STRENGTH,0x0006,pid
PID_PRESENTATION,0x0021,pid
PID_PARTITION,0x0029,pid
PID_TIME_BASED_FILTER,0x0004,pid
PID_TRANSPORT_PRIORITY,0x0049,pid
PID_DOMAIN_ID,0x000f,pid
PID_DOMAIN_TAG,0x4014,pid
PID_PROTOCOL_VERSION,0x0015,pid
PID_VENDORID,0x0016,pid
PID_UNICAST_LOCATOR,0x002f,pid
PID_MULTICAST_LOCATOR,0x0030,pid
PID_DEFAULT_UNICAST_LOCATOR,0x0031,pid
PID_METATRAFFIC_UNICAST_LOCATOR,0x0032,pid
PID_METATRAFFIC_MULTICAST_LOCATOR,0x0033,pid
PID_EXPECTS_INLINE_QOS,0x0043,pid
PID_PARTICIPANT_MANUAL_LIVELINESS_COUNT,0x0034,pid
PID_PARTICIPANT_LEASE_DURATION,0x0002,pid
PID_CONTENT_FILTER_PROPERTY,0x0035,pid
PID_PARTICIPANT_GUID,0x0050,pid
PID_GROUP_GUID,0x0052,pid
PID_BUILTIN_ENDPOINT_SET,0x0058,pid
PID_BUILTIN_ENDPOINT_QOS,0x0077,pid
PID_PROPERTY_LIST,0x0059,pid
PID_TYPE_MAX_SIZE_SERIALIZED,0x0060,pid
PID_ENTITY_NAME,0x0062,pid
PID_ENDPOINT_GUID,0x005a,pid
PID_CONTENT_FILTER_INFO,0x0055,pid
PID_COHERENT_SET,0x0056,pid
PID_DIRECTED_WRITE,0x0057,pid
PID_ORIGINAL_WRITER_INFO,0x0061,pid
PID_GROUP_COHERENT_SET,0x0063,pid
PID_GROUP_SEQ_NUM,0x0064,pid
PID_WRITER_GROUP_INFO,0x0065,pid
PID_SECURE_WRITER_GROUP_INFO,0x0066,pid
PID_KEY_HASH,0x0070,pid
PID_STATUS_INFO,0x0071,pid
PAD,0x01,sm
ACKNACK,0x06,sm
HEARTBEAT,0x07,sm
GAP,0x08,sm
INFO_TS,0x09,sm
INFO_SRC,0x0c,sm
INFO_REPLY_IP4,0x0d,sm
INFO_DST,0x0e,sm
INFO_REPLY,0x0f,sm
NACK_FRAG,0x12,sm
HEARTBEAT_FRAG,0x13,sm
DATA,0x15,sm
DATA_FRAG,0x16,sm
